name,style
Tommy Hayden,grappler
Josh Haynes,grappler
Dustin Hazelett,striker
James Head,striker
Pat Healy,grappler
David Heath,striker
Chris Heatherly,grappler
Jake Hecht,grappler
Nick Hein,striker
Ian Heinisch,grappler
Marcin Held,grappler
Delson Heleno,grappler
Dan Henderson,grappler
Benson Henderson,grappler
Josh Hendricks,grappler
Johny Hendricks,grappler
Cory Hendricks,grappler
Luis Henrique,grappler
Danny Henry,striker
Victor Henry,grappler
Jai Herbert,striker
Ed Herman,grappler
Dave Herman,striker
Jack Hermansson,grappler
Noe Hernandez,grappler
Ramiro Hernandez,striker
Alexander Hernandez,grappler
Anthony Hernandez,grappler
Nohelin Hernandez,grappler
Carlos Hernandez,grappler
Paul Herrera,grappler
Geane Herrera,grappler
Alvaro Herrera Mendoza,striker
Felice Herrig,grappler
Heath Herring,grappler
Jon Hess,grappler
Clint Hester,grappler
Jimy Hettes,grappler
Jay Hieron,grappler
Brady Hiestand,grappler
Jason High,grappler
Richie Hightower,grappler
Corey Hill,grappler
Angela Hill,striker
Jamahal Hill,striker
Branden Lee Hinkle,grappler
Hatsu Hioki,grappler
Kuniyoshi Hironaka,grappler
Mizuto Hirota,grappler
Kwan Ho Kwak,grappler
Matt Hobar,grappler
Bobby Hoffman,grappler
Sam Hoger,grappler
Andrew Holbrook,striker
Chris Holdsworth,grappler
Kevin Holland,striker
Roger Hollett,grappler
Max Holloway,striker
Holly Holm,grappler
Rex Holman,grappler
Joseph Holmes,grappler
Kurt Holobaugh,striker
Paddy Holohan,grappler
Mark Holst,grappler
Scott Holtzman,grappler
Sabah Homasi,grappler
Mark Hominick,striker
Barb Honchak,striker
Satoshi Honma,grappler
David Hood,grappler
Dan Hooker,striker
Chase Hooper,grappler
Darrell Horcher,striker
Moti Horenstein,striker
Yoshinori Horie,grappler
Kyoji Horiguchi,grappler
Jeremy Horn,grappler
Jamey-Lyn Horth,grappler
Matt Horwich,striker
Saeed Hosseini,grappler
Jeff Hougland,grappler
Brian Houston,grappler
Harold Howard,striker
John Howard,grappler
Shane Howell,striker
Hu Yaozong,striker
Carlos Huachin,striker
Austin Hubbard,grappler
Roger Huerta,grappler
Matt Hughes,grappler
Mark Hughes,grappler
Jeff Hughes,striker
Sam Hughes,grappler
Victor Hugo,grappler
Harry Hunsucker,striker
Mark Hunt,striker
Alex Hunter,grappler
Solomon Hutcherson,grappler
Al Iaquinta,striker
Khadis Ibragimov,grappler
Minoki Ichihara,grappler
Dan Ige,grappler
Valeri Ignatov,striker
Fabiano Iha,grappler
Zelim Imadaev,grappler
Nassourdine Imavov,striker
Brad Imes,grappler
Chris Indich,grappler
Guto Inocente,striker
Enson Inoue,grappler
Naoki Inoue,striker
James Irvin,striker
Teruto Ishihara,striker
Damir Ismagulov,grappler
Wallid Ismail,grappler
Leandro Issa,grappler
Blagoy Ivanov,grappler
Anthony Ivy,grappler
Yoislandy Izquierdo,striker
Yves Jabouin,grappler
Kevin Jackson,striker
Eugene Jackson,striker
Quinton Jackson,striker
Jeremy Jackson,grappler
Damon Jackson,grappler
Mike Jackson,striker
Montel Jackson,grappler
Dustin Jacoby,striker
Justin James,grappler
Virna Jandiroba,grappler
Ryan Janes,grappler
Keith Jardine,striker
Brock Jardine,striker
Rony Jason,striker
Jasmine Jasudavicius,grappler
Yazmin Jauregui,striker
Justin Jaynes,striker
Joanna Jedrzejczyk,striker
Trent Jenkins,striker
Brandon Jenkins,striker
Jack Jenkins,grappler
Steve Jennum,striker
Ryan Jensen,grappler
Chan-Mi Jeon,striker
Maciej Jewtuszko,grappler
Ronald Jhun,grappler
Baergeng Jieleyisi,grappler
Art Jimmerson,grappler
Ryan Jimmo,striker
Sung Bin Jo,grappler
Carls John De Tomas,grappler
Phil Johns,grappler
Brett Johns,grappler
Miles Johns,striker
Anthony Johnson,grappler
DaMarques Johnson,grappler
Lavar Johnson,striker
Demetrious Johnson,grappler
Michael Johnson,striker
Kajan Johnson,grappler
Dashon Johnson,grappler
Timothy Johnson,grappler
Jordan Johnson,grappler
Jose Johnson,striker
Charles Johnson,striker
Brian Johnston,striker
Liana Jojua,grappler
Daniel Jolly,striker
Paul Jones,striker
Jon Jones,grappler
Marcus Jones,grappler
Justin Jones,grappler
Trevin Jones,striker
Mason Jones,grappler
Jocelyn Jones-Lybarger,striker
Kevin Jordan,striker
Joe Jordan,grappler
Shawn Jordan,grappler
Ivan Jorge,grappler
Scott Jorgensen,grappler
Jeff Joslin,grappler
Krzysztof Jotko,grappler
Alan Jouban,striker
Charles Jourdain,striker
Kevin Jousset,grappler
Anshul Jubli,grappler
Carli Judice,grappler
Steve Judson,striker
Luke Jumeau,striker
Chan Sung Jung,striker
Da Woon Jung,grappler
Scott Junk,grappler
Myles Jury,grappler
Cristiane Justino,grappler
